id,title,description,link1_url,link1_text,link2_url,link2_text,link3_url,link3_text,,,,,,,,,
Tools,Tools,Various tools made by Eric,GradeScope Calendar Sync,https://github.com/EricLindCS/gradescope-todoist-sync,,CNC N-Line Sorter,https://raw.githubusercontent.com/EricLindCS/RandomProjects/main/CNC%20N-Line%20Sorter/N%20Iterator.html,,
General STEM Resources,General STEM Resources,,Khan Academy,https://www.khanacademy.org/,Free educational content on math science computer programming and more.,MIT OpenCourseWare,https://ocw.mit.edu/,Free online courses from MIT including subjects like physics chemistry and computer science.,Coursera,https://www.coursera.org/,Offers free and paid courses on a wide variety of STEM topics.,edX,https://www.edx.org/,Free access to courses from universities around the world on STEM subjects including computer science and engineering.,FutureLearn,https://www.futurelearn.com/,Offers free online courses on a wide range of STEM topics from reputable universities.
Programming & Coding Resources (Beginner Level),Programming & Coding Resources (Beginner Level),,Codecademy,https://www.codecademy.com/,Offers interactive lessons on various programming languages like Python Java JavaScript and more.,freeCodeCamp,https://www.freecodecamp.org/,Free lessons on HTML CSS JavaScript Data Structures and Algorithms.,Scratch,https://scratch.mit.edu/,A free visual programming language designed for beginners.,Hour of Code,https://hourofcode.com/,One-hour tutorials on coding for beginners.,W3Schools,https://www.w3schools.com/,A great starting point for learning web development (HTML CSS JavaScript).
Programming & Coding Resources (Intermediate Level),Programming & Coding Resources (Intermediate Level),,LeetCode,https://leetcode.com/,A collection of coding challenges to help develop problem-solving skills in programming.,Project Euler,https://projecteuler.net/,A collection of challenging computational problems that require a mix of math and coding.,Codeforces,https://codeforces.com/,A competitive programming platform with a variety of problems to solve.,HackerRank,https://www.hackerrank.com/,Practice coding skills through fun challenges in languages like Python Java C++ and more.,CS50 by Harvard,https://cs50.harvard.edu/,A free online version of Harvard's famous intro to computer science course.
Programming & Coding Resources (Advanced Level),Programming & Coding Resources (Advanced Level),,Exercism,https://exercism.org/,Offers coding challenges in a wide variety of programming languages for more experienced learners.,TopCoder,https://www.topcoder.com/,Competitive programming platform and community.,GitHub,https://github.com/,A platform to host coding projects and collaborate with others; great for open-source projects.,GeeksforGeeks,https://www.geeksforgeeks.org/,A deep dive into algorithms data structures and more.
Math Resources,Math Resources,,Desmos,https://www.desmos.com/,An online graphing calculator for visualizing math concepts.,Wolfram Alpha,https://www.wolframalpha.com/,A computational engine that helps solve complex math problems.,Brilliant,https://brilliant.org/,Interactive problem-solving based learning for math and science.,Paul’s Online Math Notes,http://tutorial.math.lamar.edu/,Comprehensive notes and tutorials on calculus algebra and differential equations.
Science Resources,Science Resources,,PhET Interactive Simulations,https://phet.colorado.edu/,Free science and math simulations.,The Physics Classroom,https://www.physicsclassroom.com/,Free tutorials simulations and problem-solving guides for high school physics students.,NASA's Education Site,https://www.nasa.gov/stem,STEM resources and learning activities from NASA.,Science Buddies,https://www.sciencebuddies.org/,Thousands of free project ideas experiments and guidance for science fairs.,,,
Engineering & Machining Resources,Engineering & Machining Resources,,HowStuffWorks,https://www.howstuffworks.com/,Articles and videos explaining the mechanics behind everyday machines and technologies.,Make Magazine,https://makezine.com/,Focuses on DIY projects involving electronics programming and engineering.,MIT Introduction to Robotics,https://ocw.mit.edu/courses/mechanical-engineering/2-12-introduction-to-robotics-fall-2005/,A free course from MIT that introduces students to robotics.,CNC Cookbook,https://www.cnccookbook.com/,Resources and tutorials on CNC machining including G-code programming.,Fusion 360 Tutorials,https://www.autodesk.com/products/fusion-360/learn,Free CAD/CAM software tutorials from Autodesk for design engineering and manufacturing projects.
Robotics and Electronics Resources,Robotics and Electronics Resources,,Arduino,https://www.arduino.cc/,Free tutorials and projects on using Arduino microcontrollers.,Raspberry Pi Foundation,https://www.raspberrypi.org/,Guides and tutorials for Raspberry Pi a small affordable computing device used in DIY projects.,Tinkercad,https://www.tinkercad.com/,A free online 3D design and electronics simulator for building simple electronics circuits.,FIRST Robotics,https://www.firstinspires.org/robotics/frc,A robotics competition with resources for getting started in robotics.,Adafruit Learning System,https://learn.adafruit.com/,A vast collection of tutorials on electronics DIY projects and programming for beginners and intermediates.
Girls in STEM,Girls in STEM,,Girls Who Code,https://girlswhocode.com/,A non-profit organization that offers free programming education for girls.,STEM for Her,https://stemforher.org/,Resources and programs designed to promote and inspire young women in STEM fields.,TechGirls,https://www.techgirls.org/,A platform offering hands-on workshops for young women interested in technology.
Competitions and Challenges,Competitions and Challenges,,Google Science Fair,https://www.googlesciencefair.com/,An online science and technology competition for students aged 13-18.,Intel International Science and Engineering Fair,https://student.societyforscience.org/intel-isef,The world’s largest international pre-college science competition.,FIRST Robotics Competition,https://www.firstinspires.org/robotics/frc,A global robotics competition for high school students.,Mathematical Olympiads,https://www.imo-official.org/,International mathematics competition for pre-university students.,VEX Robotics Competitions,https://www.vexrobotics.com/competition,Robotics competitions for students that focus on STEM learning and application.
Career Resources,Career Resources,,O*NET Online,https://www.onetonline.org/,A tool to explore STEM career options and their required skills.,CareerOneStop,https://www.careeronestop.org/,Resources for exploring careers including salary data required education and job demand.,STEM Jobs,https://www.stemjobs.com/,Provides insights into the skills salaries and pathways of various STEM careers.,Bureau of Labor Statistics (BLS) STEM Careers,https://www.bls.gov/k12/students/stem-careers/stem-careers.htm,Information on various STEM-related careers including job outlook and required qualifications.
